Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
PROSPECT DR & SOUTHRIDGE RD,Casualty,DELTA,2016,1,49.130404,-122.916643
RIDGECREST DR & SUMMIT CRES,Casualty,DELTA,2016,1,49.121676,-122.897179
SOUTHRIDGE RD & WESTVIEW DR,Casualty,DELTA,2016,1,49.130789,-122.918759
SUNWOOD DR & WADE RD,Casualty,DELTA,2016,1,49.12271,-122.895977
109A ST & KITTSON PKY & LYON RD,Casualty,DELTA,2016,2,49.119228,-122.919974
112 ST & 73A AVE,Casualty,DELTA,2016,2,49.136818,-122.912646
112 ST & MONROE DR,Casualty,DELTA,2016,2,49.144497,-122.912598
116 ST & 74 AVE,Casualty,DELTA,2016,2,49.137527,-122.901432
116 ST & 77A AVE,Casualty,DELTA,2016,2,49.144112,-122.901397
116 ST & 83 AVE,Casualty,DELTA,2016,2,49.154118,-122.901502
116 ST & 85 AVE,Casualty,DELTA,2016,2,49.158061,-122.902143
119A ST & 92 AVE,Casualty,DELTA,2016,2,49.170465,-122.892218
12 AVE & ENGLISH BLUFF RD,Casualty,DELTA,2016,2,49.024723,-123.090828
120 ST,Casualty,DELTA,2016,2,49.128911,-122.890372
120 ST & 62 AVE,Casualty,DELTA,2016,2,49.115594,-122.89043
120 ST & 85 AVE,Casualty,DELTA,2016,2,49.157419,-122.890372
120 ST & 94 AVE,Casualty,DELTA,2016,2,49.17402,-122.890201
120 ST & WADE RD,Casualty,DELTA,2016,2,49.124117,-122.890373
18 AVE & 56 ST,Casualty,DELTA,2016,2,49.035294,-123.068621
19 AVE & 56 ST,Casualty,DELTA,2016,2,49.03684,-123.068654
41B ST & DELTAPORT WAY,Casualty,DELTA,2016,2,49.058949,-123.109934
52A ST & LADNER TRUNK RD,Casualty,DELTA,2016,2,49.090238,-123.078426
57 ST & GROVE AVE,Casualty,DELTA,2016,2,49.095064,-123.065224
64 AVE & MCKENZIE DR,Casualty,DELTA,2016,2,49.119337,-122.910354
64 AVE & SUMMIT CRES,Casualty,DELTA,2016,2,49.119464,-122.90147
64 AVE & WESTVIEW DR,Casualty,DELTA,2016,2,49.119232,-122.922773
64 ST & HOLLY PARK DR,Casualty,DELTA,2016,2,49.087065,-123.046264
80 ST & 80 ST CONN & PROGRESS WAY,Casualty,DELTA,2016,2,49.140149,-123.001581
80 ST & 80TH ST OFFRAMP & LADNER TRUNK RD,Casualty,DELTA,2016,2,49.089981,-123.001708
82 ST & RIVER RD,Casualty,DELTA,2016,2,49.148342,-122.998257
82 ST & RIVER WAY,Casualty,DELTA,2016,2,49.145605,-122.996415
84 AVE & DELSOM CRES,Casualty,DELTA,2016,2,49.156066,-122.923605
92 ST & RIVER RD & TURNING LANE,Casualty,DELTA,2016,2,49.154756,-122.968446
96 ST & HWY 91 CONN & RIVER RD & TURNING LANE,Casualty,DELTA,2016,2,49.152882,-122.956188
96 ST & RIVER RD,Casualty,DELTA,2016,2,49.153102,-122.956964
AUDLEY BLVD & DERWENT WAY,Casualty,DELTA,2016,2,49.175862,-122.932506
BROOKE RD & RIVER RD,Casualty,DELTA,2016,2,49.165304,-122.926442
CARLETON CRT & CLIVEDEN AVE,Casualty,DELTA,2016,2,49.168588,-122.958868
COMMONWEALTH CRES & LYON RD,Casualty,DELTA,2016,2,49.128976,-122.906997
DELTAPORT WAY & DELTAPORT WAY OFFRAMP & DELTAPORT WAY ONRAMP & HWY 17 & HWY 17A & HWY 17A OFFRAMP,Casualty,DELTA,2016,2,49.058799,-123.056278
HORNBY DR & HWY 10 & LADNER TRUNK RD & LADNER TRUNK RD OFFRAMP,Casualty,DELTA,2016,2,49.089536,-122.962835
112 ST & 72A AVE,Casualty,DELTA,2016,3,49.134687,-122.912646
112 ST & 78A AVE,Casualty,DELTA,2016,3,49.145337,-122.912577
112 ST & 80 AVE,Casualty,DELTA,2016,3,49.148641,-122.91253
112 ST & 86 AVE,Casualty,DELTA,2016,3,49.159662,-122.912377
112 ST & BRIDLINGTON DR,Casualty,DELTA,2016,3,49.142509,-122.9126
116 ST & 75A AVE,Casualty,DELTA,2016,3,49.140126,-122.901402
116 ST & 76 AVE,Casualty,DELTA,2016,3,49.140951,-122.901416
117 ST & 80 AVE,Casualty,DELTA,2016,3,49.1486,-122.898665
120 ST & 76A AVE,Casualty,DELTA,2016,3,49.142295,-122.890367
120 ST & 92A AVE,Casualty,DELTA,2016,3,49.171372,-122.890249
120 ST & 95 AVE & MALL ACCESS,Casualty,DELTA,2016,3,49.175047,-122.890195
47A AVE & ARTHUR DR & ELLIOTT ST & LADNER TRUNK RD,Casualty,DELTA,2016,3,49.090025,-123.082032
64 AVE & WADE RD,Casualty,DELTA,2016,3,49.119407,-122.895981
68 ST & MACDONALD RD & RIVER RD,Casualty,DELTA,2016,3,49.135422,-123.034012
ALEX FRASER BRIDGE & HWY 17 & RIVER RD,Casualty,DELTA,2016,3,49.156556,-122.941449
ALEX FRASER BRIDGE & HWY 91 & NORDEL CRT,Casualty,DELTA,2016,3,49.149483,-122.938367
CENTRAL AVE & LADNER TRUNK RD,Casualty,DELTA,2016,3,49.090251,-123.080991
CENTRE ST & RIVER RD,Casualty,DELTA,2016,3,49.157604,-122.939526
CHESTER RD & DERWENT WAY,Casualty,DELTA,2016,3,49.167257,-122.943384
CLIVEDEN AVE & EATON WAY,Casualty,DELTA,2016,3,49.166149,-122.964649
FERRY RD & RIVER RD,Casualty,DELTA,2016,3,49.098463,-123.079515
HWY 17 & HWY 99 OFFRAMP,Casualty,DELTA,2016,3,49.095626,-123.026659
LADNER TRUNK RD & LINDEN DR,Casualty,DELTA,2016,3,49.090217,-123.071761
WEIGH SCALE RD & TURNING LANE,Casualty,DELTA,2016,3,49.14737,-122.942424
116 ST & 80 AVE,Casualty,DELTA,2016,4,49.148612,-122.901433
55B ST & LADNER TRUNK RD,Casualty,DELTA,2016,4,49.090932,-123.068475
56 ST & VIEW CRES & MALL ACCESS,Casualty,DELTA,2016,4,49.027466,-123.068688
72 AVE & BLAKE DR,Casualty,DELTA,2016,4,49.133904,-122.917347
72 ST & HOPCOTT RD & RIVER RD,Casualty,DELTA,2016,4,49.136998,-123.025721
HWY 17 & LADNER TRUNK RD,Casualty,DELTA,2016,4,49.090066,-123.024692
NORDEL WAY & RIVER RD,Casualty,DELTA,2016,4,49.154251,-122.944842
NORDEL WAY & SHEPHERD WAY,Casualty,DELTA,2016,4,49.16163,-122.917383
116 ST & 92 AVE,Casualty,DELTA,2016,5,49.170575,-122.901261
120 ST & 66 AVE,Casualty,DELTA,2016,5,49.123004,-122.890373
120 ST & MALL ACCESS,Casualty,DELTA,2016,5,49.13252,-122.890367
72 ST & LADNER TRUNK RD,Casualty,DELTA,2016,5,49.090063,-123.024078
104 ST & LADNER TRUNK RD,Casualty,DELTA,2016,6,49.095772,-122.935026
116 ST & 86 AVE,Casualty,DELTA,2016,6,49.159564,-122.902143
116 ST & 88 AVE,Casualty,DELTA,2016,6,49.163254,-122.90214
118 ST & 72 AVE,Casualty,DELTA,2016,6,49.134017,-122.896009
16 AVE & 56 ST,Casualty,DELTA,2016,6,49.032012,-123.067952
