Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
BOUNDARY RD & BOYD ST & WESTMINSTER HWY,Casualty,NEW WESTMINSTER,2016,2,49.183778,-122.957234
BOUNDARY RD & HWY 91A,Casualty,NEW WESTMINSTER,2016,2,49.183192,-122.957236
BOYNE ST & EWEN AVE,Casualty,NEW WESTMINSTER,2016,2,49.189824,-122.938119
BRAID ST & GARRETT ST,Casualty,NEW WESTMINSTER,2016,2,49.23156,-122.888849
BRAID ST & WILSON ST,Casualty,NEW WESTMINSTER,2016,2,49.231546,-122.887552
BRUNETTE AVE & ROUSSEAU ST,Casualty,NEW WESTMINSTER,2016,2,49.228087,-122.886377
CARNARVON ST & FOURTH ST,Casualty,NEW WESTMINSTER,2016,2,49.205451,-122.906372
CARNARVON ST & QUAYSIDE DR,Casualty,NEW WESTMINSTER,2016,2,49.200886,-122.914823
CARNARVON ST & SIXTH ST,Casualty,NEW WESTMINSTER,2016,2,49.204072,-122.90889
CHILLIWACK ST & E EIGHTH AVE,Casualty,NEW WESTMINSTER,2016,2,49.227527,-122.902379
COLUMBIA ST & FRONT ST,Casualty,NEW WESTMINSTER,2016,2,49.200315,-122.913318
CUMBERLAND ST & RICHMOND ST,Casualty,NEW WESTMINSTER,2016,2,49.220544,-122.898757
CUNNINGHAM ST & SIXTH ST,Casualty,NEW WESTMINSTER,2016,2,49.205242,-122.910362
E COLUMBIA ST & SHERBROOKE ST,Casualty,NEW WESTMINSTER,2016,2,49.227888,-122.892843
E COLUMBIA ST & SIMPSON ST,Casualty,NEW WESTMINSTER,2016,2,49.224615,-122.892913
EIGHTEENTH ST & EIGHTH AVE,Casualty,NEW WESTMINSTER,2016,2,49.205152,-122.944056
EIGHTH AVE & FOURTH ST,Casualty,NEW WESTMINSTER,2016,2,49.217392,-122.921361
EIGHTH ST & HAMILTON ST,Casualty,NEW WESTMINSTER,2016,2,49.213227,-122.926633
EWEN AVE & HOWES ST,Casualty,NEW WESTMINSTER,2016,2,49.186274,-122.946656
GIFFORD ST & TANAKA CRT,Casualty,NEW WESTMINSTER,2016,2,49.186226,-122.953414
GINGER DR & MCBRIDE BLVD,Casualty,NEW WESTMINSTER,2016,2,49.217888,-122.906347
HWY 91A & STEWARDSON WAY,Casualty,NEW WESTMINSTER,2016,2,49.19791,-122.948864
MEMORIAL DR & ROSS DR,Casualty,NEW WESTMINSTER,2016,2,49.215876,-122.901529
QUEENS AVE & TENTH ST,Casualty,NEW WESTMINSTER,2016,2,49.203566,-122.919265
SEVENTH AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,2,49.208989,-122.93219
THIRD AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,2,49.203181,-122.924939
ALLEN ST & BRUNETTE AVE,Casualty,NEW WESTMINSTER,2016,3,49.226392,-122.888204
BELMONT ST & SIXTH ST,Casualty,NEW WESTMINSTER,2016,3,49.212469,-122.91945
